                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,,5,,,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,,,,,,,,,19
46,Done,jahismmm,https://www.tiktok.com/@jahismmm,"48,100","9,337",64,60,3,1,TRUE,FALSE,TRUE,"สาขา Central พระราม 9 
3 มิ.ย. 69 - 12:00","ตั้งใจมาซื้อกาแฟ แต่มาตกหลุม Hippers ทั้งหลาย✨
น่ารักไม่ไหวว~ เดี๋ยวฉันจะมาเก็บให้หมดทุกตัวเลยยยย

ZUS Coffee แจก Hippers Collection ฟรี! 
เพียงซื้อเครื่องดื่มครบ 80 บาทต่อบิล ก็รับไปเลย 1 ซอง
ตั้งแต่ 3-12 June เท่านั้น!

#zuscoffee #zuscoffeeth @zuscoffee.th",https://drive.google.com/drive/folders/1UiBg1DLJdmeQFNpH3sn_Lt7QTIia2WXJ,"ผ่าน
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","ผ่าน
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",,,,"TikTok Video: https://vt.tiktok.com/ZSQeJQ1hx/
IG Reels: https://www.instagram.com/reel/DZKqrvyxrEC/
IG Post: https://www.instagram.com/p/DZKgVaUgR49/
IG Story: https://www.instagram.com/s/aGlnaGxpZ2h0OjE4NDQwOTkyNjkwMTM2NjU1",TikTok Video: #emUFHVu36blz3Ipx9hC0zRhump/5ut60gSLqPH+MKwEnvfsAKR/UNX2ECKzWAnA=,804,26,0,0,0,"1,265",38,0,1,0,0,
47,Done,baby.aryn66,https://www.tiktok.com/@baby.aryn66,"6,079","6,174",452,396,50,6,TRUE,FALSE,TRUE,"สาขา Little Walk กรุงเทพกรีฑา 
29 พ.ค. 69 - 19:00","วันนี้ได้ทั้งเครื่องดื่มแก้วโปรด และความน่ารักกลับบ้าน 🥹💙

โดน ZUS Coffee ตกอีกแล้ว ☕🎁

รอบนี้ไม่ได้ตกแค่เพราะกาแฟแล้วนะ
แต่เพราะมี Hippers Collection ให้ลุ้นด้วย 👀✨

ใครอยากลุ้นเหมือนกันบ้าง
รีบแวะไปที่ ZUS Coffee ทุกสาขาได้เลยน้า

📍3 - 12 มิ.ย. 69
#ZUSCoffee #ZUScoffeeth #Hipperscollection #ZUSbuddy ",https://drive.google.com/drive/folders/1Z9RAuUpD5r8wlSfovnqc-3LtXL4QaAkd,"ผ่าน
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",0.33 Frappe Fren เขียนให้ถูกต้อง / ตัดเสียงรบกวนออกไปอีกได้ไหม เหมือนมีลมพัดตลอดทั้งคลิป /(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress),https://drive.google.com/drive/folders/1Z9RAuUpD5r8wlSfovnqc-3LtXL4QaAkd,-,ผ่าน,"TikTok Video: https://vt.tiktok.com/ZSQFAD1G8/
IG Reels: https://www.instagram.com/reel/DZPuvxiPje7/
IG Post: https://www.instagram.com/reel/DZPuvxiPje7/
IG Story: https://www.instagram.com/stories/baby.arynn/3913555897993901663",TikTok Video: #qPERL+F+wvXW+EP8WCM3Vn7NHO7v/v/+NnZ4cFEEYR1r5Yxr6FZNMefskiH9s+8=,"3,864",183,26,5,2,157,3,0,0,0,0,
48,Done,wilaipaireview,https://www.tiktok.com/@wilaipaireview,"12,600","27,023",1030,420,20,590,TRUE,FALSE,TRUE,"สาขาวานิช เพลส อารีย์ 
4 มิ.ย. 69 - 14:00",มาเก็บสะสมความน่ารักของน้องๆทั้ง 8 คาแรคเตอร์ สุดน่ารักของกันค่ะ กับกิจกรรมลุ้นซองสุ่ม ZUS Buddy Hippers Collection ของ ZUS COFFEE   เพียงซื้อเครื่องดื่มครบ 80 บาท ต่อ 1 บิล ก็ได้สิทธิ์จุ่มฟรี 1 ซอง!,https://drive.google.com/drive/folders/1KOYjSppIZ6mfK3-bFCi0ezuip9pFUMAf,"ผ่าน
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","ผ่าน
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",,,,"TikTok Video: https://vt.tiktok.com/ZSQFWhhqd/
IG Reels: https://www.instagram.com/reel/DZPHn3NS0Cs/
IG Post: https://www.instagram.com/p/DZPV5fqEk23/
IG Story: https://www.instagram.com/stories/wilaibhorn_kh/3913450416767076884",TikTok Video: #GTLiQLGVajf5izcdiyggSwwPaUuRwUQTaKFKyKpf5fo/FTnXQETBKKBcdYrXYBY=,"1,606",59,18,14,14,539,11,3,1,0,0,
49,Done,nnamsom_,https://www.tiktok.com/@nnamsom_,"10,600","4,920",336,321,8,7,TRUE,FALSE,TRUE,"สาขา SCB Park Plaza
3 มิ.ย. 69 - 13:00",เป็นร้านกาแฟอร่อย และยังได้ลุ้นน้อง Hippers Collection อีกด้วย รีบไปจุ่มมาสะสมกัน!,https://drive.google.com/drive/folders/1CknxJe4aQn4t8pp9esH6c85IdgwUjyNH,"ผ่าน
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","0.20 แก้ว้อยซ์ อ่านว่า บัตเตอร์เคร็ม
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",https://drive.google.com/drive/folders/1CknxJe4aQn4t8pp9esH6c85IdgwUjyNH,"ผ่าน
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","ผ่าน
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","TikTok Video: https://www.tiktok.com/@nnamsom_/video/7648498764214291733
IG Reels: https://www.instagram.com/reel/DZRUHcZptvY/
IG Post: https://www.instagram.com/p/DZRWQPAiYai/
IG Story: https://www.instagram.com/stories/namsomort_/3914003856338021048",TikTok Video: #Ub8SK3z3I3B4KPYFKsGDRHsrcS4Hh2WHOgtzA8B98yc1r/pk/D5JkiYF6izryxc=,610,45,4,1,0,69,69,0,0,0,0,
50,Done,oilchanaporn,https://www.tiktok.com/@oilchanaporn,"4,506","1,398",127,92,24,11,TRUE,FALSE,TRUE,"สาขา SCB Park Plaza 
3 มิ.ย. 69 - 14:00","ช่วงนี้ ZUS Coffee x Hippers Collection น่ารักเกินต้าน 💖
ซื้อเครื่องดื่มครบ 80 บาท/บิล รับฟรี! ซองสุ่ม Hippers Collection 1 ซอง ✨ (1 บิล = 1 จุ่ม)

สั่งง่ายผ่าน ZUS App ได้ทั้ง Pick Up และ Delivery 📱🚗
ร่วมสนุกได้ที่ ZUS Coffee ทุกสาขา ตั้งแต่ 3 - 12 มิถุนายนนี้เท่านั้น!

#ZUSCoffeexHippers #HippersCollection ",https://drive.google.com/drive/folders/1K8HC8k8fvOxorOtSfps7OfSVKC09fmRy,"ผ่าน
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","0.49 เพิ่ม text ระยะเวลาโปร
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",https://drive.google.com/drive/folders/1K8HC8k8fvOxorOtSfps7OfSVKC09fmRy,"ผ่าน
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","ผ่าน
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","TikTok Video:  https://vt.tiktok.com/ZSQ8rYRKm/
IG Reels: https://www.instagram.com/reel/DZNEc7MJCxe/
IG Post: https://www.instagram.com/reel/DZNEc7MJCxe/
IG Story: https://www.instagram.com/stories/cherroil/3912803827166346095","TikTok Video: #rdLoU8OgyqPQ0RN5Ruu39/B2R2sDtq9+3nhZ0YgedD2EUZw4RRpv31Om7pqeF/Q=
Facebook: fbadcode-Q_GkBQ1GJYln3ms1UGB8QL3GMetkcVsQfbA92PvBSM_9ngoYRMIcW0lNb1tHLpEM1g","2,357",71,48,38,14,160,4,1,0,0,0,
51,Done,wara.wsd,https://www.tiktok.com/@wara.wsd,"10,500","46,005",2084,1081,10,993,TRUE,FALSE,TRUE,"สาขา Central พระราม 9 
3 มิ.ย. 69 - 14:00",กรี๊ดด ZUS Coffee เค้ามีลูกเล่น น้อนๆ Hippers Collection น่ารักน่าสะสมมาก มีทุกสาขา 📍 ตั้งแต่วันที่ 3-12 มิ.ย. 69 นี้ รีบเล๊ย #zuscoffee  #zuscoffeeth ,https://drive.google.com/drive/folders/1tnxfSNTu9KI0UPiMDVWUBJlS-OmDJGhn,"0.07 - เหมือนเสียงขาดตอนไปนิดนึง
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","0.07 - เหมือนเสียงขาดตอนไปนิดนึง
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress",https://drive.google.com/drive/folders/1tnxfSNTu9KI0UPiMDVWUBJlS-OmDJGhn,-,"ผ่าน
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress","TikTok Video: https://vt.tiktok.com/ZSQRVxsQL/
IG Reels: https://www.instagram.com/reel/DZM0G-7TAJf/
IG Post: https://www.instagram.com/reel/DZM0G-7TAJf/
IG Story: https://www.instagram.com/stories/wara.wa/3912733442685744472",TikTok Video: #1pZwWusNo61B0Gpmy/Scuw81xxZ0GjTzX2sIt9VRpyEvm6qjX1CadChfa3k/U+Y=,646,24,5,6,6,190,11,1,3,0,0,
52,cancel,aummyjibi,https://www.tiktok.com/@aummyjibi,"30,900","1,597",62,60,1,1,TRUE,FALSE,TRUE,- -,,,,,,,,-,-,,,,,,,,,,,,
53,Done,smxxe.98,https://www.tiktok.com/@smxxe.98,"22,100","7,185",32,22,2,8,TRUE,FALSE,TRUE,"สาขาฟอร์จูน ทาวน์ 
27 พ.ค. 69 - 16:00","แค่จะมาซื้อ Chocolate Frappe (ช็อกโกแลต แฟรปเป้) กับ Chocolate (ช็อกโกแลต) เย็น… สรุปวันนี้มานั่งลุ้นจุ่มแทน 😂🍫💖

ตอนนี้ ZUS Coffee เขามี Hippers Collection ซองสุ่มแล้วนะ!
ซื้อเครื่องดื่มครบ 80 บาทต่อบิล รับฟรี 1 ซองสุ่มเลย 🫶🏻

ความน่ารักคือเอาไปติดได้ทั้งโทรศัพท์ laptop หรือมุมโต๊ะทำงาน เพิ่มความสดใสให้ everyday mood สุดๆ ✨

📍ร่วมสนุกได้ทุกสาขา
📅 3-12 June เท่านั้น!
📱สั่งผ่าน ZUS App ได้ทั้ง pick up และ delivery 

#zuscoffee #zuscoffeeth",https://drive.google.com/file/d/1ZlEJFCswPjxnOT_TPeqYmUgHPnm30n7X/view?usp=drive_link,"ผ่าน
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","""ผ่าน
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)""",,,,"TikTok Video: https://vt.tiktok.com/ZSxcAWc1H/
IG Reels: https://www.instagram.com/reel/DZC4q2GTk-b/
IG Post: https://www.instagram.com/p/DZC572elFT-/
IG Story: https://www.instagram.com/stories/smile_again.98/3909939084836167993",TikTok Video: #sgyH+5molk8b3qPsiugASQPQSNc4orGUcg3PuKL/0MCXxwA7GxKSCpRyB9Wh+GU=,832,34,4,6,37,711,16,2,2,0,0,
54,Done,flukexway,https://www.tiktok.com/@flukexway,"4,119",1994,99,94,1,4,TRUE,FALSE,TRUE,"สาขา Central พระราม 9 
3 มิ.ย. 69 - 14:00","กรี๊ดดดด! คอมพลีทแล้ววันนี้! 🎉 แค่สั่งเครื่องดื่มก็ได้แกะซองสุ่มลุ้นไปอี๊กกก! 

วันนี้จัด Thai milk tea frappe และ Iced buttercreme matcha ไป 2 แก้วจุกๆ 🥤 ได้รับซองสุ่ม ZUS Buddy Hippers มาฟรีเลย 1 ซอง (ซื้อครบ 80.- ก็ได้แล้ว คุ้มมาก!) แกะมาปุ๊บ กรี๊ดลั่นร้าน เพราะได้น้องเซนชา (Zen Cha) สีเขียวมาครอบครอง 💚✨ น้องน่ารักนุ้บนิ้บ เอามาติดขอบโต๊ะทำงานคือฟินสุดดด 

ใครสายกล่องสุ่มห้ามพลาดน้า โปรมีถึงแค่ 12 มิ.ย. นี้เท่านั้น ไปตำด่วนๆ 🏃‍♀️💨

#zuscoffee #zuscoffeeth @zuscoffee.th",https://drive.google.com/drive/folders/179fGgpSw9TcmCYpJ2oSk4bo89rvyxy52?usp=sharing,"ผ่าน
(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","ผ่าน
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",,,,"TikTok Video: https://vt.tiktok.com/ZSQN93wVH/
IG Reels: https://www.instagram.com/reel/DZPKxNYP6pW/
IG Post: https://www.instagram.com/p/DZPLvKqD9EL/
IG Story: https://www.instagram.com/p/DZPLvKqD9EL/",TikTok Video: #WqCEWqrRK9unPQgWaR4YJ8QLIB0+O8DaMQy6vtR3jwmGiXuMo2VliCc7fsyf9Fw=,232,9,1,1,2,"2,027",84,5,5,0,0,
56,,natacha.166,https://www.tiktok.com/@natacha.166,"10,400",84,11,9,1,1,TRUE,FALSE,FALSE,"สาขา SCB Park Plaza 
3 มิ.ย. 69 - 12:00",,,,,,,,,,,,,,,,,,,,,
57,Done,famsrwpp,https://www.tiktok.com/@famsrwpp,"5,447",292,32,31,1,0,TRUE,FALSE,TRUE,"สาขา Thyme บางนา
3 มิ.ย. 69 - 10:00","แค่จะมาซื้อกาแฟ สรุปได้มาลุ้นซองจุ่มเฉยย

3 - 12 มิ.ย. นี้ ZUS COFFEE มีซองสุ่ม Hippers Collection ด้วยย
เพียงซื้อเครื่องดื่มเมนูใดก็ได้ครบ 80 บาทต่อบิล รับฟรี 1 จุ่ม!
@zuscoffee.th

#zuscoffee #zuscoffeeth",https://drive.google.com/file/d/1vrOVRjIJvhDK5VOHfY8-FFmEarxvHJa7/view?usp=drivesdk,"0.25 - ตัดที่พูดว่า Secret ออก

(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","0.25 - ตัดที่พูดว่า Secret ออก

(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",https://drive.google.com/file/d/1lofk4ZmekK67RrtXePZHdCcro5MR-kV9/view?usp=drivesdk,ผ่าน,ผ่าน,"TikTok Video: https://vt.tiktok.com/ZSQMhjugt/
IG Reels: https://www.instagram.com/reel/DZURgaYTAD8/
IG Post: https://www.instagram.com/p/DZUTUkXk3-U/
IG Story: https://www.instagram.com/stories/famsrwpp/3914841343386691130",TikTok Video: #MA6M00/PJcyYeIGJgxxhfmC16mMuSVNO/c1p5kn0bfx8ajv3AFwKW1QLsCLt2/c=,200,18,0,0,0,"1,257",9,0,0,0,0,
58,Done,jamjampeipei,https://www.tiktok.com/@jamjampeipei,"4,304","3,120",124,112,3,9,TRUE,FALSE,TRUE,"สาขา Little Walk กรุงเทพกรีฑา
28 พ.ค. 69 - 18:00","สายจุ่มแบบเราเห็นแล้วพุ่งเลยยย 🫶🏻☕️
ซื้อกาแฟที่ ZUS Coffee แล้วได้ลุ้น Hipper Collection ฟรีด้วย น้องน่ารักทุกตัวจนอยากได้ซีเคร็ต 🥹✨
แถมเอาไปติดได้ทุกที่ ทั้งในรถ บนโน้ตบุ๊ก หรือโต๊ะทำงานก็คือน่ารักเกินนน

ซื้อเครื่องดื่มครบ 80.- รับฟรี Hipper Collection 1 ซอง
ตั้งแต่วันที่ 3-12 มิถุนายนนี้เท่านั้นน #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/file/d/1DGmeaS7NFIM464qZU6vhTx_J1ZpFW6XU/view?usp=drivesdk,"ผ่าน
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","0.58 ZUS Coffee
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",https://drive.google.com/file/d/1g-07ZCKXBJdQDlhoe-DNCkdltM0Ky8az/view?usp=drivesdk,ผ่าน อินฟลูแจ้งว่าจะใส่ BGM ตอนลง,ผ่าน,"TikTok Video: https://vt.tiktok.com/ZSxoNmqQ7/
IG Reels: https://www.facebook.com/share/r/1PFr6QzS1K/
IG Post: https://www.instagram.com/reel/DZIDcKfTCgG/
IG Story: https://www.instagram.com/stories/jamjampp/3911390413064444141","TikTok Video: #VsKovRun9izhMi6Uxxt6gSm+X3vKCfW2sbqqzncjfhYf4YteAv1WjqziJLeDE5o=
Facebook: fbadcode-Q_GkBQ2reLrtFvB_d3Sq0ZINs3TmdluEUIlSQfXbM47g9jRpK5C8mMCSsEZvyJfQbdY",317,10,0,1,0,355,4,0,0,0,0,
59,,selflovewithgrace,https://www.tiktok.com/@selflovewithgrace,"10,800",401,18,17,1,0,TRUE,FALSE,FALSE,"สาขา Central พระราม 9
3 มิ.ย. 69 - 12:00",,,,,,,,,,,,,,,,,,,,,
60,Done,mu_am_,https://www.tiktok.com/@mu_am_,"12,200","8,193",539,507,4,28,TRUE,FALSE,TRUE,"สาขาวานิช เพลส อารีย์
4 มิ.ย. 69 - 14:00",อ้ากกก น่ารักมาก ซุสทำเรื่องอีกแล้วววว วิ่งไปซื้อด่วนๆๆๆๆๆ #zuscoffee #zuscoffeeth #กล่องสุ่ม,https://drive.google.com/file/d/12UiJiymkh5c7Hhx01F53ujjezATm-9M7/view?usp=drivesdk,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","ผ่าน
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",,,,"TikTok Video: https://vt.tiktok.com/ZSQN4dFu9/
IG Reels: https://www.instagram.com/reel/DZPO1Q5yjoS/
IG Post: https://www.instagram.com/p/DZPPpjdGN-Q/
IG Story: https://www.instagram.com/stories/mu.am____________________/3911962717619667612",TikTok Video: #8UE90aO4iZtAa3BILob8iJibz4W2JLMLKnx9+M/ev7gtt+Rosw99xdHuK3/KRMQ=,330,25,4,2,3,747,25,0,0,0,0,
61,Done,dianadanai05,https://www.tiktok.com/@dianadanai05,"499,300","22,100",295,235,4,56,TRUE,FALSE,TRUE,"สาขาวานิช เพลส อารีย์
4 มิ.ย. 69 - 14:00","The Hippers Collection 🍪👀🧋☁️ น้องงงสุ่มจาก “ZUS coffee☕️” เสิร์ฟเริ่ดมากน่าตามเก็บให้ครบบบ🎀🩰☁️🍪
@zuscoffee.th
 
#zuscoffee #zuscoffeeth ",https://drive.google.com/drive/folders/1cHfBuq5ngkKLCmfCiLOUhMR7I2hxW5ij,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","ผ่าน
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",,,,"TikTok Video: https://vt.tiktok.com/ZSQ2rUufh/
IG Reels: https://www.instagram.com/reel/DZPldlrBF7C/
IG Post: https://www.instagram.com/p/DZPkhGxEbgz/
IG Story: https://drive.google.com/file/d/1X898P9NoxEgNVndiDzjfdx5NZFE_9qCu/view",TikTok Video: #Bgv34Q1yat70NppjP6spnH01Ec4qXxS0Ja1LDPvFYSt6HBaxyPLFtznCmKV83Uw=,855,59,2,0,2,754,24,2,0,0,0,
62,Done,ziribkk,https://www.tiktok.com/@ziribkk,"1,853",500,68,44,10,14,TRUE,FALSE,TRUE,"สาขาฟอร์จูน ทาวน์
27 พ.ค. 69 - 14:00",อร้าย🥰มา ZUS Coffee เจอจุ่มปุ๊ปตื่นเลย นักล่าจุ่มต้องมีเติมซุสแถมน้อน #zuscoffee #zuscoffeeth #กล่องสุ่ม #bildbox #arttoy,https://drive.google.com/file/d/14v5apmU9YQPmiQQJVa0_Xq2w6tMXAgjz/view?usp=drivesdk,"- 0.05 ZUS Coffee
- 0.21 ZUS Coffee
- 0.44 เอาเอฟเฟค hhh ออกได้มั้ยคะ
- 0.46 เอาฟิลเตอร์หน้าออกได้มั้ยคะ
- 0.49 เอามีมออก ติดเครดิต tiktok","1.ใส่เพลงคลอเบาๆได้ค่ะ
2. 0.24 ZUS Coffee 
3. 0.44 เอาเอฟเฟค hhh ออกได้มั้ยคะ
4. 0.46 เอาฟิลเตอร์หน้าออกได้มั้ยคะ
5. 0.52 เอามีมด้านซ้ายออก ติดเครดิต tiktok ค่ะ
6. ฝากแก้ไขแคปชั่น ""blindbox"" สะกดผิดค่ะ
7. เพิ่มแคปชั่น #ZUSWIP 
#ZUSWorkInProgress ",https://drive.google.com/file/d/1InQAzXUD2JxCe3JEbz8sxYNsUbekB5Pj/view,"ผ่าน
(เติมเพลงตอนลง)","ผ่าน
(เติมเพลงตอนลง)","TikTok Video: https://vt.tiktok.com/ZSxnPbG6n/
IG Reels: https://www.facebook.com/share/r/1B5ESSzqjR/
IG Post: https://www.instagram.com/p/DZAfpRFkxxZ/
IG Story: https://www.instagram.com/stories/zirichubby/3908891810148060208","TikTok Video: #/GJD7FlT4MT+NlTgN/WDCslg1wGB3VKdbltOFm/GEE/TSbnRcE9//ZR1XjESAQU=
Facebook: fbadcode-Q_GkBQ3_6cUsWYxiR5u2YHyyO2hRlgeprOYjM4RoZXvndaZM9-AUR0rX0LuNVtBX1hM","7,645",73,5,8,55,537,14,2,0,0,0,
63,Done,lifewithapple.s,https://www.tiktok.com/@lifewithapple.s,"177,500","6,964",282,270,5.63,6.75,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
3 มิ.ย. 69 - 14:00","ฉันอยากไปจุ่มให้ครบทุกตัวเลย 🥰

 #zuscoffee #zuscoffeeth",https://drive.google.com/file/d/1wZvTEkuFFNceyEsgVrJvL4Iqyk0ggdNj/view?usp=drive_link,"0.05 - 80 บาท ไม่ใช่ 150 บาท
0.07 - Hippers Collection ไม่ใช่ WIP Collection
0.35 - 3-12 มิถุนายน และเพิ่ม Text ""3-12 มิถุนายน 2569""",-,https://drive.google.com/file/d/1c-KYrXnaKi6vMO4voVayv-Q14D9MDGVj/view?usp=drivesdk,ผ่าน,"ผ่าน
(ใส่แคปชั่น  #ZUSWIP #ZUSWorkInProgress)","Tiktok : https://vt.tiktok.com/ZSQHKtaSE/
IG Reels : https://www.instagram.com/reel/DZiLBvgpLFG/
IG Post : https://www.instagram.com/p/DZiMNHFmRUn/",Tiktok : #O0aSqqb/xJxoZ19sgaM0XlcvaYeIPCtHXh6M1eojJtYBJ7fqp/P1O11+xIAyqMo=,394,22,1,0,0,432,8,0,1,0,0,
64,Done,kunnida.cha,https://www.tiktok.com/@kunnida.cha,"6,227","2,054",282,269,7,6,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
4 มิ.ย. 69 - 16:00","ตั้งใจแค่จะซื้อเครื่องดื่มนะ แต่โดน ZUS ดักทางเพราะกลุ่มสุมสุดcuteไว้แล้ว!! 😭🎁
#zuscoffee #zuscoffeeth",https://drive.google.com/drive/folders/1QrMxpVAomgmFf9DwpXtsJ_MGp6WyxIby,"0.04 - Hipper -> Hippers
1.00 - พอร์ต้า พอล ออกเสียงผิดนิดนึงค่า

(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","0.04 - Hipper -> Hippers
0.27 -> Frappe
1.00 - พอร์ต้า พอล ออกเสียงผิดนิดนึงค่า

0.26 - Iced Fizzy Grape

(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",https://drive.google.com/drive/folders/1QrMxpVAomgmFf9DwpXtsJ_MGp6WyxIby,ผ่าน,0.26 - Iced Fizzy Grape แก้ text ค่ะ แก้แล้วลงได้เลยค่ะ,"TikTok Video: https://vt.tiktok.com/ZSQMguGLJ/
IG Reels: https://www.instagram.com/reel/DZUmcLgzr3D/
IG Post: https://www.instagram.com/p/DZKdIQnEz5-/
IG Story: https://www.instagram.com/stories/kunnida.cha/3914924124905102582",TikTok Video: #D1NfidX9n4noGkmYW+8LI/JIqru8vDoERqoiDNC/FexRW1gL4xyZB3riI8PExYU=,"4,283",314,1,9,2,859,121,1,0,0,0,
65,Done,baitong_little_duck,https://www.tiktok.com/@baitong_little_duck,"18,600","1,035",73,64,5,4,TRUE,FALSE,TRUE,"สาขา Thyme บางนา
29 พ.ค. 69 - 16:00","ทุกคนรู้ยัง? 👀✨ ตอนนี้ ZUS Coffee มีซองสุ่ม Hippers Collection ให้ลุ้นแล้ว เพียงซื้อเครื่องดื่มครบ 80 บาทต่อบิล รับสิทธิ์สุ่มได้เลย 1 ซอง 🧸💕

#zuscoffee #zuscoffeeth
#กล่องสุ่ม #ของสะสม #figure",https://drive.google.com/file/d/1IzFy1Nainm1VjrovgQbfXUo_VovrhMAI/view?usp=drivesdk,"ผ่าน
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","ผ่าน
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",,,,"TikTok Video: https://vt.tiktok.com/ZSxc5vxa1/
IG Reels: https://www.facebook.com/share/r/1DEfaoFoPk/
IG Post: https://www.instagram.com/reel/DZC_tXiq2u2/
IG Story: https://www.instagram.com/stories/qmirana/3909968545215841012","TikTok Video: #qAp8783dtjp7vZ02SYtjcTy2JnCa8WiVjXe/EQNmMamZQ+dNjXNwVxpR23/vyc8=
Facebook: fbadcode-Q_GkBQ1WhcHqzYqiF-8vrCz4kIa4Qvv2cDMbk7NNMCr1wvgzdyScMU8W2DBhLDXpvXE","1,666",52,4,4,8,245,9,0,0,0,0,
66,Done,ployttn,https://www.tiktok.com/@ployttn,"10,900",253,35,31,2,2,TRUE,FALSE,TRUE,"สาขา Little Walk กรุงเทพกรีฑา
27 พ.ค. 69 - 15:00",ซุสมีกล่องสุ่มด้วย น่ารักทุกตัว ✨😍,https://drive.google.com/drive/folders/16ksDWDWq9W9YBiBkfdbyVApXWSJJ9DZH,-,"ผ่าน
( + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",,,,"TikTok: https://vt.tiktok.com/ZSxoj5a3h/
Instagram: https://www.instagram.com/reel/DZHWGOcvSR_/
Post: https://www.instagram.com/p/DZE1_G9jzFv/‘","TikTok Video: #2wSen+nGmRPPZppWn3K2ytopdmeq1Z84aMNca+kUfiBShxFLu7Ah+KTJ2OtcmD0=
Facebook: fbadcode-Q_GkBQ3yzC7az8sdSRUnEN4F-Y_s1ZTh5a1g3lZ5W9rMfY_ZgHiIbLhJYyk_W91d3Q",849,23,1,1,4,"1,226",21,0,3,0,0,
