                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,,5,,,6,7,8,9,10,11,12,13,14,15,16,,,,17,18,,,,,,,,,,,,19
55,Done,eat_aday,https://www.tiktok.com/@eat_aday,"15,200","2,513",43,37,2,4,TRUE,FALSE,TRUE,"สาขาบ้านก้ามปู อโศก
13 มิ.ย. 69 - 14:00","กล่องสุ่ม ZUS COFFEE น่ารักมาก มาสะสมกัน แค่มาสั่งกาแฟก็ได้ลุ้นกล่องสุ่ม

#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkinProgress

* ขอไม่ใส่รายละเอียดเรื่องราคาใน Caption นะคะเพราะจะโดนปิดกั้นจากระบบติ๊กต้อก ใช้วิธีใส่ข้อมูลในคลิปวิดีโอแทนค่ะ",https://drive.google.com/file/d/13_RT780cEAYXXGf-IhUkCFh-obvLOVMz/view?usp=drivesdk,,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSQbFjwVG/
IG Reels: https://www.instagram.com/reel/DZpQkKWyzFh/
IG Post: https://www.instagram.com/p/DZpYAU6EsVw/",#FN09bhEegIsulvmA3P0WPlioUPa8aNw/hhrNdzdhvrLY58V4tHtC/QY2tvc1jYY=,160,8,0,0,0,222,27,12,0,0,0,
56,Done,smxxe.98,https://www.tiktok.com/@smxxe.98,"22,200","22,100",7209,7185,22,2,TRUE,FALSE,TRUE,"สาขาวานิช เพลส อารีย์
9 มิ.ย. 69 - 16:00","น่ารักเกินต้าน 💙
ซื้อเครื่องดื่มที่ ZUS Coffee ครบ 150 บาทต่อบิล รับฟรี กล่องสุ่ม Work in Progress Collection 1 กล่อง 🎁
ร่วมรายการ 13-21 มิถุนายน 2569 ที่ ZUS Coffee ทุกสาขา หรือสั่งผ่าน ZUS App ได้ทั้ง Pick Up และ Delivery

#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkinProgress",https://drive.google.com/drive/folders/1UZkkOm21EWQx515yAS6xC8fGcdbjT1oC,,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSQf2SjnR/
IG Reels: https://www.instagram.com/reel/DZcdmyYzy5K/
IG Post: https://www.instagram.com/p/DZcep7mFEd0/
IG Story: https://www.instagram.com/stories/smile_again.98/3917137342692039554",TikTok Video: #0s7paVz2YHYoH+OwNcd3sD88L3mWDijzXvepuAqNSPEwgXl8WcdcbstCy8XS1Ks=,815,13,2,8,33,"1,102",8,0,2,0,0,
57,,famsrwpp,https://www.tiktok.com/@famsrwpp,"5,447","5,447",324,292,31,1,FALSE,FALSE,FALSE,"สาขาบ้านก้ามปู อโศก
9 มิ.ย. 69 - 18:00",,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,
58,Done,095bank,https://www.tiktok.com/@095bank,"12,400","12,300",1948,1800,145,3,TRUE,FALSE,TRUE,"สาขาวานิช เพลส อารีย์
8 มิ.ย. 69 - 14:00","ได้ดื่มเครื่องดื่มอร่อยอร่อยแล้ว ยังได้สุ่มฟิกเกอร มาลุ้นให้ใจเต้นตักอีกด้วย
#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkinProgress",https://drive.google.com/drive/folders/1VRrGZA3S0ASBBIw_fJEaIre3KNlsLvsv,,"0.12 ตรง text ซื้อครบ 150 บาท เพิ่มระยะเวลา text ได้มั้ยคะ ไม่ต้องรีบเอาลงค่ะ
1.02 - ใส่ปีตรงระยะเวลาเพิ่ม 69",https://drive.google.com/drive/folders/1VRrGZA3S0ASBBIw_fJEaIre3KNlsLvsv,"ผ่าน
(ตอนลงรบกวนลงเพลงคลอๆสนุกๆ)","ผ่าน
(ตอนลงรบกวนลงเพลงคลอๆสนุกๆ)",,,,"TikTok Video: https://vt.tiktok.com/ZSQHN3hTr/
IG Reels: https://www.instagram.com/reel/DZhcEu4pEGP/
IG Post: https://www.instagram.com/p/DZhfsMNiapr/",#9BMouRVHkw8agyjt7udHvQteDuQoqrP4FpogsRI/sGbWrL60vXNeZiCbGCwmjlk=,"2,496",253,3,6,2,"3,237",108,2,4,0,0,
59,,qngap,https://www.tiktok.com/@qngap,"10,700","5,135",17,14,1,2,FALSE,FALSE,FALSE,"สาขา Central พระราม 9
8 มิ.ย. 69 - 10:00",,,,,,,,,,,-,-,,,,,,,,,,,,
60,,magusgaa,https://www.tiktok.com/@magusgaa,"3,564","3,564",161,155,6,0,FALSE,FALSE,FALSE,"สาขา Central พระราม 9
9 มิ.ย. 69 - 18:00",,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,
61,Done,flukexway,https://www.tiktok.com/@flukexway,"4,109","4,119",2089,1994,94,1,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
8 มิ.ย. 69 - 20:00","ซื้อกาแฟแถมกล่องสุ่มอาร์ตทอย! 🎁 จุ่มได้น้อง Pinky Boo สีชมพูสุดคิวท์ 💖 เอามาตั้งโต๊ะฮีลใจสุดๆ (ซื้อครบ 150.- ได้สุ่มฟรี 1 กล่องนะ) 

#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkinProgress @zuscoffee.th",https://drive.google.com/drive/folders/1NGJXNB-xwBlHz4eiNpE-Qrhrg-qObMgd?usp=sharing,"- 0.27 แก้ไขเสียง + Text จาก ""กดผ่าน ZUS"" เป็น ""กดผ่าน ZUS APP""
- 0.56 รบกวนเพิ่มปี เป็น 13 - 21 มิ.ย. 69
- รบกวนเพิ่มเพลงสนุกๆตามสไตล์อินฟลูฯตลอดทั้งคลิป","- 0.27 แก้ไขเสียง + Text จาก ""กดผ่าน ZUS"" เป็น ""กดผ่าน ZUS APP""
- 0.56 รบกวนเพิ่มปี เป็น 13 - 21 มิ.ย. 69
- รบกวนเพิ่มเพลงสนุกๆตามสไตล์อินฟลูฯตลอดทั้งคลิป",https://drive.google.com/file/d/1eTLNzXcFgqQguOKEpeJQ259G213qV4GH/view?usp=sharing,ผ่าน,"ผ่าน
",,,,"TikTok Video: https://vt.tiktok.com/ZSQuFn64t/
IG Reels: https://www.instagram.com/reel/DZgyipEP5hu/
IG Post: https://www.instagram.com/p/DZgy1oYD-7A/
IG Story: https://www.instagram.com/p/DZgy1oYD-7A/",TikTok Video: #Tvy2t2dsVq7ceoGEAy4M3inyQHZTcX9hK3q/+r4tAfohkoLP0mnNknwGFIntVeU=,"1,378",169,0,5,0,"1,054",21,2,2,0,0,
62,Done,wannaka.diary,https://www.tiktok.com/@wannaka.diary,"31,700","3,710",208,196,3,9,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
9 มิ.ย. 69 - 18:00",ZUS ป้ะ  #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkinProgress @zuscoffee.th,https://drive.google.com/file/d/150jbEWXYWfziaBMOw5y1JFHHipkriKvX/view?usp=drivesdk,,"- 0.37 ใส่เงื่อนไขโปรโมชั่นค่ะ ซื้อครบ 150.- / บิล รับฟรีไปเลย 1 จุ่ม
- 0.56 - ตั้งแต่วันที่  13 - 21 มิ.ย. 69 นี้เท่านั้น
",https://drive.google.com/file/d/1DufIutNLFy1bRGgKcD950zpMUVuS_vIw/view?usp=sharing,ผ่าน,"ผ่าน
",,,,"TikTok Video: https://vt.tiktok.com/ZSQuRDKcc/
IG Reels: https://www.instagram.com/reel/DZgvxbfRu5Z/
IG Post: https://www.instagram.com/p/DZgxDdcEexk/
IG Story: https://www.instagram.com/stories/travel_loverer/3918342413484125888",TikTok Video: #K5ZaBT0TwR0r3roG7DDXq5tp9Wivh78+TCc8B4O6+dWTKqggfhASMAF+ERxWEIs=,910,21,1,1,4,726,9,1,2,0,0,
63,Done,yanikah,https://www.tiktok.com/@yanikah,"27,200","10,400",46,44,1,1,TRUE,FALSE,TRUE,"สาขาบ้านก้ามปู อโศก
13 มิ.ย. 69 - 10:00","ปังมากกก แค่ซื้อกาแฟก็ได้กล่องจุ่มน่ารักกกกกก🫰🏻💖
#รีวิว  #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkinProgress",https://drive.google.com/drive/folders/1yY17ATonmk5VNNW5ZMZbWBLQ8YT5orGZ,,ผ่าน ตอนลงอาจจะใส่เพลงเพิ่มเติม,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSQsSWwns/
IG Reels: https://www.instagram.com/reel/DZr4pMqsUOV/
IG Post: https://www.instagram.com/p/DZr_feQGFEt/",#hjd60g8KCrQw1SEERChYVfD3bBWFvEQvMHligfi1rElM1tbMEiYAP8oFUnwimbI=,"12,200",44,0,2,3,"3,194",58,2,1,0,0,
64,Done,smilepharida,https://www.tiktok.com/@smilepharida,"10,200",941,150,143,1,6,TRUE,FALSE,TRUE,"สาขา Central พระราม 9 
9 มิ.ย. 69 - 11:00",ซื้อเครื่องดื่มได้กล่องจุ่มสุดคิ้วท์ คอลนี้น่ารักมากๆ เครื่องดื่มก็อร่อย มาเล่นกันได้น้าาา  #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkinProgress @zuscoffee.th,https://drive.google.com/drive/folders/1iJQUxzoywkrBUAhZBSKbD7NEsfdAK-cN,,- add text ตอนท้าย ตั้งแต่ 13 - 21 มิ.ย. 69,https://drive.google.com/drive/folders/1iJQUxzoywkrBUAhZBSKbD7NEsfdAK-cN,"ผ่าน
(ตอนลงรบกวนลงเพลงคลอๆสนุกๆ)","ผ่าน
(ตอนลงรบกวนลงเพลงคลอๆสนุกๆ)",,,,"TikTok Video: https://vt.tiktok.com/ZSQuCYhEQ/
IG Reels: https://www.instagram.com/reel/DZhEYplsouW/
IG Post: https://www.instagram.com/p/DZhFFK0mS6g/
IG Story: https://www.instagram.com/stories/smilepharida/3918437042720900580",TikTok Video: #Y44sXIW6bFExLh1w3iPk/vTO4MslY0Vigld9GiMRJ5ckMecuuLKpkavREMk6mas=,288,13,0,3,2,"1,238",18,0,0,0,0,
65,Done,feel_wa,https://www.tiktok.com/@feel_wa,"3,371","3,665",339,302,3,34,TRUE,FALSE,TRUE,"สาขาวานิช เพลส อารีย์ 
8 มิ.ย. 69 - 03:00","ตั้งใจไปซื้อกาแฟ สุดท้ายได้ลุ้นกล่องสุ่มแทน 🤣
📍Zus Coffee 

#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress #รถดั้มม์ฟีลว่าอยากแนะนำ",https://drive.google.com/drive/folders/1VYgdAka3eexrzYSEFfFu3wd9ki-AXS-f,,"-text ตอนต้นเอาขึ้น ค่อยเอาขึ้นตอน วิที่ 4
- ตอนท้าย ใส่ text ระยะเวลาโปรโมชั่น ตั้งแต่ 13 - 21 มิ.ย. 69",https://drive.google.com/file/d/1maNzIkBFiTlDspiRQUG0wcNcY8enHxjQ/view?usp=drivesdk,"ผ่าน
(ตอนลงรบกวนลงเพลงคลอๆสนุกๆ)","ผ่าน
(ตอนลงรบกวนลงเพลงคลอๆสนุกๆ)",,,,"TikTok Video:  https://vt.tiktok.com/ZSQxaYx3T/
IG Reels: https://www.instagram.com/reel/DZgguz_yUN7/
IG Post: https://www.instagram.com/p/DZjqtAMkX3c/",#CT28kbKEyZC8ZgRuBaE89ELVEP1VDvYmrIYt5vVqmM1W6Ajzg5Ui8zaDHRG8mhc=,"2,901",228,5,25,42,"5,246",110,9,5,0,0,
66,,pikjanma,https://www.tiktok.com/@pikjanma,"5,406",749,55,48,1,6,FALSE,FALSE,FALSE,"สาขา SCB Park Plaza 
14 มิ.ย. 69 - 05:00",,,,,,,,,,,-,-,,,,,,,,,,,,
67,Done,kukkikpunnada,https://www.tiktok.com/@kukkikpunnada,"135,500","4,090",123,120,2,1,TRUE,FALSE,TRUE,"สาขา Central พระราม 9 
13 มิ.ย. 69 - 09:00",ได้จุ่มแบบงงๆ สนุก น่ารักกก 😂🩵#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkinProgress,https://drive.google.com/drive/folders/1gEREu3j8AovhtuSN5Kcbt-XtD_qlcOR3,,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSQ7N25MB/
IG Reels: https://www.instagram.com/reel/DZwVB3gz_i8/",#lF687aNS+WmDC7E3S5Aq/SpSH17KqNRYvB1+qEs8+khVBLDkc2tR6ztXdjPfS/4=,"2,128",45,0,2,0,766,19,0,1,0,0,
68,,gaga.rpu,https://www.tiktok.com/@gaga.rpu,"9,867","1,808",38,35,1,2,FALSE,FALSE,FALSE,"สาขา Central พระราม 9 
8 มิ.ย. 69 - 07:00",,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,
69,,mazmazz,https://www.tiktok.com/@maxzmaxzz,"2,042",214,16,14,1,1,FALSE,FALSE,FALSE,"สาขา Central พระราม 9 
13 มิ.ย. 69 - 13:00",,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,
70,Done,any.anyavee,https://www.tiktok.com/@any.anyavee,"32,200","2,592",133,112,3,18,TRUE,FALSE,TRUE,"สาขา Central พระราม 9 
8 มิ.ย. 69 - 13:00","โดนเส้นมาก ชอบน้อง ต้องสะสมเพิ่มละ 🍵💻

#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/file/d/15b4DAawfvcUfdkAjb89sL2Ci0v_5oo4v/view?usp=drivesdk,,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSQaUQJ6y/
IG Reels: https://www.instagram.com/reel/DZehBWGyei3/
IG Post: https://www.instagram.com/p/DZfENu2Egsv/
IG Story: https://www.instagram.com/p/DZfENu2Egsv/",TikTok Video: #cqt6X54bJL66r3sAHqVY6IQB0NNL4h06eFEkORdf6pq8iyuvmmlmoDNfxBdJ3fg=,537,38,2,4,3,"1,137",41,0,2,0,0,
71,,thomas_suii,https://www.tiktok.com/@thomas_suii,"145,200",283,10,6,3,1,FALSE,FALSE,FALSE,"สาขา Central พระราม 9 
9 มิ.ย. 69 - 07:00",,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,
72,cancel,porly2001,https://www.tiktok.com/@porly2001,"41,800",254,15,13,1,1,TRUE,FALSE,FALSE,"สาขาบ้านก้ามปู อโศก
8 มิ.ย. 69 - 11:00",,,,,,,,,,,-,-,,,,,,,,,,,,
73,,baitong_little_duck,https://www.tiktok.com/@baitong_little_duck,"18,700","1,035",73,64,5,4,,,,"สาขา SCB Park Plaza 
8 มิ.ย. 69 - 11:00",,,,,,,,,,,-,-,,,,,,,,,,,,
74,Done,enjoywithbear,https://www.tiktok.com/@enjoywithbear,"2,780","1,096",18,14,1,3,TRUE,FALSE,TRUE,"สาขา Central พระราม 9 
8 มิ.ย. 69 - 07:00","พามาลุ้นกล่องสุ่มที่ ZUS Coffee บอกเลยน่ารักมากกกก แค่สั่งเครื่องดื่มครบ 150 บาท ต่อ 1 บิล รับกล่องสุ่ม WIP Collection 1 จุ่ม 
แอบกระซิบว่ามีตัวซีเคร็ตด้วยนะ!!
ไปตามเก็บน้องๆ กันได้ที่ ZUS Coffee ทุกสาขา 
ตั้งแต่วันที่ 13-21 มิถุนายน 2569 
#zuscoffee #zusciffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/1T4mQir_aPQM0CzSPnoI03kqJ_g_T6x32,"- รบกวนเติมเพลงสนุกๆคลอๆตลอดทั้งคลิป
- รบกวนเพิ่ม Text ตอนที่พูดถึงเครื่องดื่มทั้ง 3 แก้ว
","- รบกวนเติมเพลงสนุกๆคลอๆตลอดทั้งคลิป
- รบกวนเพิ่ม Text ตอนที่พูดถึงเครื่องดื่มทั้ง 3 แก้ว",https://drive.google.com/drive/folders/1-_k54dQrnoMpIb16lATq1KmQ0f4BoFwo,"ผ่าน
(ตอนลงรบกวนลงเพลงคลอๆสนุกๆ)","ผ่าน
(ตอนลงรบกวนลงเพลงคลอๆสนุกๆ)",,,,"TikTok Video: https://vt.tiktok.com/ZSQuydawL/
IG Reels: https://www.instagram.com/reel/DZg2nRDCj3o/
IG Post: https://www.instagram.com/p/DZg68CamPzX/
IG Story: https://www.instagram.com/stories/enjoywithbear/3918402597232456767",TikTok Video: #MPD+EsaVC0DYZwLcrGFqAH0UH7LqlZ9DuJLR98Do9LwpBR7tLb+Ns2oAOGC/SzA=,156,9,0,0,1,250,33,9,5,0,0,
75,Done,ji_patha,https://www.tiktok.com/@ji_patha,"24,400","1,151",70,61,5,4,TRUE,FALSE,TRUE,"สาขา Central พระราม 9 
9 มิ.ย. 69 - 13:00","เลิกงานน้ำตาลตก แวะไปเติมหวานแถมได้กล่องสุ่มมาแบบฟินๆ สาวออฟฟิศถูกใจสิ่งนี้ม้าก🤩

#ZUScoffee #ZUScoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/file/d/1v6tRpkSBmbeCXlI46MVuDf0tXuGTDSqf/view?usp=drive_link,,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSQfJnHy7/
IG Reels: https://www.facebook.com/share/r/19HnjbJqBE/
IG Post: https://www.facebook.com/share/p/1E8B29gRcD/
IG Story: https://www.facebook.com/stories/3834819729901342/UzpfSVNDOjIwNTY0ODc4MTUyNzY1MjA=/",TikTok Video: #AJrMhgmJDm72yFCPkQBnGqmFB9aMvUcPtpJ1/kutV/TuUF/092YFenB3xqKQsf0=,561,33,0,3,3,764,13,0,0,0,0,
76,,giftounsaimoo,www.tiktok.com/@giftounsaimoo,"35,700","1,049",112,84,22,6,FALSE,FALSE,FALSE,"สาขา Central พระราม 9 
8 มิ.ย. 69 - 03:00",,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,
77,Done,chobell,https://www.tiktok.com/@chobell,"63,000","3,292",141,131,9,1,TRUE,FALSE,TRUE,"สาขา Central พระราม 9 
9 มิ.ย. 69 - 07:00","☕✨ แค่แวะมาซื้อกาแฟ…แต่ได้ภารกิจลุ้นกล่องสุ่มกลับบ้านซะงั้น 😂💖
เปิดได้ตัวที่อยากได้ด้วยยย Pinky Boo มาแล้ว 🥹🎀

ใครอยากมาลุ้นบ้าง ไปเจอกันที่ ZUS Coffee ทุกสาขา 13-21 มิ.ย. นี้ 💫
#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress  ",https://drive.google.com/file/d/12aGy0gtS8CWh3S4SM9Jj2rExXKZW3Aze/view?usp=drivesdk,"- 0.05 เขียนผิด รบกวนแก้ไขจาก ""ZUS Coffe"" เป็น  ""ZUS Coffee""
- 0.52 รบกวนเติมปี เป็น 13 - 21 June 2026","- 0.05 เขียนผิด รบกวนแก้ไขจาก ""ZUS Coffe"" เป็น  ""ZUS Coffee""
- 0.52 รบกวนเติมปี เป็น 13 - 21 June 2026",https://drive.google.com/file/d/1wMaUv0v1mQ4NDwXKByiO6sYq6iPxSYOc/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSQQComLk/
IG Reels: https://www.instagram.com/reel/DZhvGEjgMaT/
IG Post: https://www.instagram.com/p/DZkpxu2msmm/",#XxOBU29qD5j0BYcHc20cmonqyVS5jw+3pHKqKpcu0F0JUq79hSmuvLZ94+5YsIE=,"11,100",519,8,8,0,371,6,0,1,0,0,
78,Done,mean.tita,https://www.tiktok.com/@mean.tita,"11,300",215,23,22,0,1,TRUE,FALSE,TRUE,"สาขา Central พระราม 9 
14 มิ.ย. 69 - 07:00","วันนี้กาแฟไม่ได้เติมแค่พลัง แต่เติมความน่ารักด้วย 🥹☕💙 ซื้อครบ 150 บาทต่อบิล รับฟรี WIP Collection 1 กล่อง ไปลุ้นกันว่าจะได้ตัวไหน! #ZUSCoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress

Tag IG: @zuscoffeeth",https://drive.google.com/drive/folders/1pME3issQsZIK-5XYWxdBZPiP2F-XfrAg,,ผ่าน ตอนลงใส่เพลง,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSQbRDMXm/
IG Reels: https://www.instagram.com/reel/DZpUpbsTEtD/
IG Post: https://www.instagram.com/p/DZpVH4FE9vD/",#u7IYmqYK2sibn4BAs5RSSxxPsYhJE3J7Z0G7r1lVPdlanBMp6wBxz4m2mXQ+/8c=,151,7,0,0,0,215,6,0,0,0,0,
79,Done,superlinllyn,https://www.tiktok.com/@superlinllyn,"8,469",887,24,20,1,3,TRUE,FALSE,TRUE,"สาขาบ้านก้ามปู อโศก 
9 มิ.ย. 69 - 11:00","สายจุ่มห้ามพลาด‼️ ได้ทั้งเครื่องดื่มและจุ่มกล่องจุ่ม เพียงต่อบิล 150฿ ZUS Coffee แจกความสนุก🩷🩷
#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress ",https://drive.google.com/drive/folders/1VGTvKVkG7WlArHYwUAYmTZhxQyXfmxzS,,"- 0.28 secret เขียนผิด
- 0.50 voice and text ระยะเวลากิจกรรม
",https://drive.google.com/drive/folders/1VGTvKVkG7WlArHYwUAYmTZhxQyXfmxzS,"- 0.50 เขียน 13 - 21 มิ.ย. 2569 
- เพิ่มดนตรีคลอๆสนุกๆตลอดทั้งคลิป","- 0.50 เขียน 13 - 21 มิ.ย. 2569  (เพิ่มระดับเสียงนิดนึงค่า รู้สึกว่าเบากว่าตอนก่อนหน้ามั้ยคะ)
- เพิ่มดนตรีคลอๆสนุกๆตลอดทั้งคลิป",https://drive.google.com/drive/folders/1VGTvKVkG7WlArHYwUAYmTZhxQyXfmxzS,,ผ่าน,"TikTok Video: https://vt.tiktok.com/ZNR38DCmp/
IG Reels: https://www.instagram.com/reel/DZpXV2ZTGtb/?igsh=ZzY3MmpheWV6bGRp
IG Post: https://www.instagram.com/p/DZpYN1SEy3U/",#oNSU2iwMCcyJx2lrXiebPmG5/m/646UY8HxGHc9CIf0buo/zlVXzmXaX3m6WpFs=,384,12,2,1,0,"2,511",8,0,0,0,0,
80,cancel,mickey.linn,https://www.tiktok.com/@mickey.linn,"2,463","1,022",47,38,4,5,TRUE,FALSE,FALSE,"สาขา Central พระราม 9 
8 มิ.ย. 69 - 07:00",ยังไม่ได้เข้าถ่าย รอนัดเวลาใหม่,,,,,,,,,,-,-,,,,,,,,,,,,
81,Done,mornmellodyz,https://www.tiktok.com/@mornmellodyz,"147,700","1,720",98,83,2,13,TRUE,,TRUE,"สาขา SCB Park Plaza 
8 มิ.ย. 69 - 11:00",พร้อมจะจุ่มกล่องสุ่มที่ ZUS ยังง? แอบกระซิบว่าคอลใหม่น่ารักมาก! 💙🥰#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress,https://drive.google.com/file/d/1867_LhD_Imz_SAi4E_By4qXmBzkCcf1-/view?usp=drivesdk,- 0.45 รบกวนออกเสียงใหม่จาก บัตเตอร์ครีม เป็น บัตเตอร์เคร็ม,"- 0.45 รบกวนออกเสียงใหม่จาก บัตเตอร์ครีม เป็น บัตเตอร์เคร็ม
- 0.49 เอารูปจากในบรีฟออก ใส่ text 13-21 มิถุนายน 2569 แทน",https://drive.google.com/file/d/1Js1WzxrjTp2_fL9eCUlpJe13SKAnWsrG/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSQ4kL16V/
IG Reels: https://www.instagram.com/reel/DZmqzpjiSbR/",#t3eFjCg9PsZvgw6a7ejtCeNAdHP0zOt9nLFmQ+OgpFfyJzM+PD7msWVIpQqnrNA=,455,33,0,0,0,467,13,0,0,0,0,
82,Done,phanicha_64,https://www.tiktok.com/@phanicha_64,"154,400","1,661",58,50,4,4,TRUE,FALSE,TRUE,"สาขา SCB Park Plaza 
8 มิ.ย. 69 - 07:00","แวะมากินกาแฟแต่ได้ลุ่นจุ่มเฉยย
น้องน่ารักมากก ไปค่ะไปลุ้นจุ่มกีน #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/1fUHyjzRFB7rJbh3mW1vnY5SWr36SWkgh,"- 0.01 รบกวนสะดวก ZUS ด้วยพิมพ์ใหญ่ทั้งหมด เป็น ZUS COFFEE
- 0.55 รบกวนแก้ไขเสียงพูด เอาคำว่า ""มายมิสเตอร์รี่บ็อก"" ออก
- รบกวนเพิ่มระดับเสียงเพลงคลอๆให้ดังกว่านี้อีกเล็กน้อย","- 0.01 รบกวนสะดวก ZUS ด้วยพิมพ์ใหญ่ทั้งหมด เป็น ZUS COFFEE
- 0.24 เพิ่ม text ซื้อเครื่องดื่มครบ 150 บาทต่อบิล รับฟรี! กล่องสุ่ม 1 กล่อง
- 0.55 รบกวนแก้ไขเสียงพูด เอาคำว่า ""มายมิสเตอร์รี่บ็อก"" ออก
- รบกวนเพิ่มระดับเสียงเพลงคลอๆให้ดังกว่านี้อีกเล็กน้อย",https://drive.google.com/drive/folders/1fUHyjzRFB7rJbh3mW1vnY5SWr36SWkgh,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSQuyPsf8/
IG Reels: https://www.instagram.com/reel/DZg6WStxaMm/
IG Post: https://www.instagram.com/p/DZhA-xEkfXK/
IG Story: https://www.instagram.com/stories/katzii8878/3918408436593803832",TikTok Video: #gXDLN4dXCf/gsTZb95EZk9yo1bz2V8zBaoxXrN/KuR41Jw+TqD2YjZjmPeyz7RA=,"1,321",64,17,2,1,96,14,9,0,0,0,
83,Done,palangreview,https://www.tiktok.com/@palangreview,"5,924","3,830",199,183,3,13,TRUE,FALSE,TRUE,"สาขา Central พระราม 9 
8 มิ.ย. 69 - 03:00","รอบที่แล้วเปิดไปกล่องเดียว…
สรุปวันนี้กลับมาซ้ำอีก 😭✨
ZUS Coffee เค้าออกคอลใหม่
“ZUS Work in Progress Collection”
น่ารักเกินต้านมากกกก
แค่ซื้อเครื่องดื่มครบ 150.- / บิล
ก็ได้ลุ้นกล่องสุ่ม 1 กล่องเลย ☕🎁
แล้วเราได้ “Porta Pal พอร์ต้า พาล” 🥹🤍
น้องแก้มป่องน่ารักมากกก
ตอนนี้คืออยากสะสมให้ครบทั้งคอลแล้ว!
ร่วมโปรทุกสาขา ZUS Coffee
ตั้งแต่วันที่ 13-21 June นี้เท่านั้น✨
#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/18Ogz4u-t8msjdkdzvwFI22Pt6VFp2TjZ,"- 0.04 - 0.05 รบกวนใช้คลิปตอนที่กำลังจะแกะกล่องสุ่มจากวินาทีที่ 0.25 - 0.26
- 1.04 รบกวนเพิ่มปี เป็น 13-21 มิถุนายน 2569
","- 0.04 - 0.05 รบกวนใช้คลิปตอนที่กำลังจะแกะกล่องสุ่มจากวินาทีที่ 0.25 - 0.26
- 1.04 รบกวนเพิ่มปี เป็น 13-21 มิถุนายน 2569
-แก้ว้อยซ์ คาราเมลแมคเคียโต้
",https://drive.google.com/drive/folders/18Ogz4u-t8msjdkdzvwFI22Pt6VFp2TjZ,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSQuRYjxB/
IG Reels: https://www.instagram.com/p/DZgvULQkllY/
IG Post: https://www.instagram.com/p/DZgvULQkllY/
IG Story: https://www.instagram.com/stories/tuplakad/3918340553159377460",TikTok Video: #C8vLkmhYuaaFWlUh05tiRx1L+ZgqqkuVntEYwMzHw4xPjGUudDvFO+VxEfas5cg=,"1,024",50,4,0,1,162,7,0,2,0,0,
84,,kaemkon,https://www.tiktok.com/@kaemkon,"7,215",408,27,24,2,1,FALSE,FALSE,FALSE,"สาขา Central พระราม 9 
9 มิ.ย. 69 - 03:00",,,,,,,,,,,-,-,,,,,,,,,,,,
